"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*03dei*","Lane Thomas","KC","OF","370","FA","30","@CIN Wed 7:10PM","58","1.23","15%","0%"
"*05a29*","Carmen Mlodzinski","PIT","SP,RP","371","FA","27","@HOU Wed 8:10PM","57.15","5.2","30%","-12%"
"*063vu*","Matt Shaw","CHC","3B,OF","375","FA","24","ATH Wed 8:05PM","57","1.36","55%","-1%"
"*01usi*","Marcell Ozuna","PIT","UT","374","FA","35","@HOU Wed 8:10PM","57","1.24","36%","-3%"
"*04pqf*","Nick Fortes","TB","C","372","FA","29","DET Wed 1:10PM","57","1.21","16%","-2%"
"*051dl*","Edouard Julien","COL","1B,2B","373","FA","27","@LAA Wed 9:38PM","57","1.12","14%","-2%"
"*041qr*","Aaron Civale","ATH","SP","376","FA","30","@CHC Wed 8:05PM","56.37","5.12","37%","-11%"
"*02h8d*","Steven Matz","TB","SP,RP","377","FA","35","DET Wed 1:10PM","56.18","5.62","51%","-7%"
"*06in4*","Hyeseong Kim","LAD","2B,SS","378","FA","27","@ARI Wed 9:40PM","56","1.3","32%","-5%"
"*04zay*","Kai-Wei Teng","HOU","SP,RP","380","FA","27","PIT Wed 8:10PM","55.86","3.1","53%","-2%"
"*03ann*","Jeff Hoffman","TOR","RP","381","FA","33","@ATL Wed 7:15PM","55.47","1.98","73%","-6%"
"*04aq4*","Adolis Garcia","PHI","OF","385","FA","33","SD Wed 6:40PM","55","0.93","60%","-6%"
"*04qnc*","Francisco Alvarez","NYM","C","383","FA","24","@SEA Wed 3:40PM","55","1.49","59%","-1%"
"*05ras*","Colton Cowser","BAL","OF","384","FA","26","@BOS Wed 6:45PM","55","1.08","52%","-1%"
"*0513c*","Joey Ortiz","MIL","SS","388","FA","27","SF Wed 7:40PM","55","1.12","21%","-1%"
"*05xu0*","Drew Gilbert","SF","OF","386","FA","25","@MIL Wed 7:40PM","55","1.31","16%","-1%"
"*04ehj*","Dane Myers","CIN","OF","387","FA","30","KC Wed 7:10PM","55","1.12","6%","0%"
"*04azu*","Kumar Rocker","TEX","SP","389","FA","26","@STL Wed 7:45PM","54.48","4.95","49%","-4%"
